Library Converter Report - Thursday, February 20, 2014 13:53:41 PM
Converting C:\EDAWork\EDALibraries\PADS\thruhole.pt4...
1N4001 - OK
22V10 - OK
2N2222 - OK
3364 - OK
74AC00DIP - OK
74HC4040 - OK
A3959 - OK
ADG3248 - OK
AMPHENOL-222141 - OK
ASK-1-X65 - OK
BA2032 - OK
BA7653 - OK
BA7654F - OK
BASOP8 - OK
BECAP - OK
BIGPOLARCAP - OK
BNC-364A595BL - OK
BNC5524 - OK
BS170 - OK
CAP - OK
CAP-1MIL - OK
CAPACITOR - OK
CAPH - OK
CAPRR200W20L150T80H230-I - OK
CD4007UBDIP - OK
CHIPCAP - OK
CHIPLED - OK
CHIPLEDGRN - OK
CHIPPIN - OK
CHIPRES - OK
COAX - OK
CON-12-PAR-100 - OK
CON-18-PAR-100 - OK
CON-20-PAR-100 - OK
CON-46-PAR-100 - OK
CON-DB9HM - OK
CON-SIP-3P - OK
CON20PIN-I - OK
CONN-18-PAR-100 - OK
CONNECTOR_20-I - OK
CONN_BNC_PCB - OK
CON_2_TERMINAL - OK
CTS636 - OK
D1N4148 - OK
DB9-HF - OK
DB9_CONNECTOR - OK
DF01M - OK
DIOAD300W20L150D100-I - OK
DIODE - OK
DIP16 - OK
DIP28-300 - OK
DIP300W20P100PL400H150Q8-I - OK
DIP300W20P100PL750H150Q14-I - OK
DIP300W20P100PL750H150Q18-I - OK
DIP300W20P100PL750H150Q20-I - OK
DIP300W20P100PL850H150Q16-I - OK
DIP40-600 - OK
ECAP - OK
ECS2100 - OK
EDZ250-3 - OK
EDZ500 - OK
EVQ11A04M - OK
EXBE10C - OK
FAN - OK
FIN1002 - OK
FIN1028 - OK
FSM4JSMA - OK
FUSE - OK
HDR-16-PAR-100 - OK
HDR-6-PAR-100 - OK
HEADER1 - OK
HEADER10X2 - OK
HEADER12X2 - OK
HEADER2 - OK
HEADER2X1 - OK
HEADER3 - OK
HEADER3X2 - OK
HEADER4 - OK
HEADER5 - OK
HEADER5X2 - OK
HEADER6 - OK
HEADER6X2 - OK
HEADER8 - OK
HEADER8X2 - OK
HOLE080 - OK
HOLE093 - OK
HOLE125 - OK
HOLE1MM - OK
HOLE25 - OK
HOLE93 - OK
INDUCTOR - OK
ISL8483E - OK
L200 - OK
LE33CZ - OK
LED - OK
LED5MM - OK
LENSHOLDER20 - OK
LM1881 - OK
LM2901DIP - OK
LM317 - OK
LM317-HZ - OK
LM319N - OK
LM324DIP - OK
LM386 - OK
MAX232 - OK
MC34063 - OK
MCP130 - OK
MCP1700 - OK
MCP1825S - OK
MECAP - OK
NTE197 - OK
OSCILLATOR - OK
PAD - OK
PIC18F1220 - OK
PJ002A - OK
POLARCAP - OK
POT - OK
POT3352W - OK
POT3353W - OK
PROTOPAD - OK
PWR_ADAPTER - OK
QPS586 - OK
QPS586TO5 - OK
RES-2W - OK
RESAD300W20L150D100-I - OK
RESAD500W20L250D100-I - OK
RESH - OK
RESISTOR - OK
S8010 - OK
SA630 - OK
SCHOTTKY - OK
SI5X5 - OK
SIP10-100MIL-I - OK
SIP2-100MIL-I - OK
SIP2-200MIL-I - OK
SIP3-100MIL-I - OK
SIP5-100MIL-I - OK
SIP6-100MIL-I - OK
SIP9-100MIL-I - OK
SMA73251 - OK
SN74ABT823 - OK
SOIC16 - OK
SOT23-5 - OK
SPDT - OK
T4-1 - OK
TACTSWITCH - OK
THCAP - OK
THS7316 - OK
TL1105 - OK
TO-220-UP - OK
TO18 - OK
TO92 - OK
TOKO7KMM - OK
TPA31 - OK
TRANSTO92 - OK
TURRET2501 - OK
UPC2746TB - OK
US40KTDX - OK
USBMINIAB - OK
USBTAB - OK
VRES - OK
XC2C64A - OK
ZENER - OK
Records converted: 163
Errors: 0

Converting C:\EDAWork\EDALibraries\PADS\thruhole.pd4...
0805 - OK
3364 - OK
5X3P2OSC - OK
9VBATT - OK
AMPHENOL-222141 - OK
ASK-1-X65 - OK
BA2032 - OK
BASOP8 - OK
BNC-364A595BL - OK
BNC5524 - OK
CAP-1MIL - OK
CAPRE100W200D500H-I - OK
CAPRE138W315D453H-I - OK
CAPRE200W400D500H-I - OK
CAPRE200W500D750H-I - OK
CAPRR100W20L200T100H230-I - OK
CAPRR200W20L150T80H230-I - OK
CAPRR250W20L150T80H230-I - OK
CON-10-PAR-100 - OK
CON-12-PAR-100 - OK
CON-16-PAR-100 - OK
CON-18-PAR-100 - OK
CON-20-PAR-100 - OK
CON-46-PAR-100 - OK
CON-6-PAR-100 - OK
CONNECTOR_20-I - OK
CONN_BNC_PCB - OK
CON_2_TERMINAL - OK
DB9-HF - OK
DF10M - OK
DIOAD300W20L150D100-I - OK
DIP300W20P100PL400H150Q8-I - OK
DIP300W20P100PL750H150Q14-I - OK
DIP300W20P100PL750H150Q18-I - OK
DIP300W20P100PL750H150Q20-I - OK
DIP300W20P100PL750H150Q24-I - OK
DIP300W20P100PL750H150Q28-I - OK
DIP300W20P100PL850H150Q16-I - OK
ECS2100 - OK
EDZ250-3 - OK
EDZ500 - OK
EVQ11A04M - OK
EXBE10C - OK
FSM4JH - OK
FSM4JSMA - OK
HDR-16-PAR-100 - OK
HDR-6-PAR-100 - OK
HOLE025 - OK
HOLE080 - OK
HOLE093 - OK
HOLE125 - OK
HOLE1MM - OK
L200 - OK
LED0805 - OK
LED5MM - OK
LENSHOLDER20 - OK
LM317 - OK
MINIMOLD-6 - OK
NTE197 - OK
PAD - OK
PCBSPKR - OK
PIN0805 - OK
PJ002A - OK
POT3352W - OK
POWERDI323 - OK
PROTOPAD - OK
PT-LH003-20MM - OK
PUSHBUTTON - OK
PWR_ADAPTER - OK
QFP44-2 - OK
QPS586TO5 - OK
RESAD1000W20L455D100-I - OK
RESAD300W20L150D100-I - OK
RESAD400W20L150D100-I - OK
RESAD500W20L250D100-I - OK
S8010 - OK
SC70-6 - OK
SI5X5 - OK
SIP10-100MIL-I - OK
SIP2-100MIL-I - OK
SIP2-200MIL-I - OK
SIP3-100MIL-I - OK
SIP3-1P5MM - OK
SIP4-100MIL-I - OK
SIP5-100MIL-I - OK
SIP6-100MIL-I - OK
SIP6-100MIL-ZIGZAG - OK
SIP8-100MIL-I - OK
SIP9-100MIL-I - OK
SJ-2509N - OK
SMA73251 - OK
SO16 - OK
SO8 - OK
SOIC16 - OK
SOP24 - OK
SOT-223-3 - OK
SOT-89-3 - OK
SOT23-5 - OK
T4-1 - OK
TL1105 - OK
TO-220 - OK
TO-92 - OK
TO18 - OK
TO92 - OK
TOKO7KMM - OK
TPA31 - OK
TRANSTO92 - OK
TURRET2501 - OK
US40KTDX - OK
USBMINIABWURTH - OK
USBTAB - OK
Records converted: 111
Errors: 0

Converting C:\EDAWork\EDALibraries\PADS\thruhole.ld4...
Records converted: 0
Errors: 0

Converting C:\EDAWork\EDALibraries\PADS\thruhole.ln4...
LEOPARDPRINT - OK
SPIRAL5X5 - OK
Records converted: 2
Errors: 0

