Reference, Value, Footprint, Datasheet, Supplier, Supplier P/N, Supplier URL, Manufacturer, Manufacturer P/N, Datasheet URL, Description, Unit Cost, Accessory, Supplier URl, Manufacturer URL, NOTE
C2,0.1u,Capacitors_SMD:C_0603_HandSoldering,
X1,10MHz,custom_footprints:crystal_TXC_7A,,Digikey,887-1741-1-ND,http://www.digikey.com/product-search/en?pv7=2&k=7A-10.000MAAE-T&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,TXC Corporation,7A-10.000MAAE-T,http://www.mouser.com/ds/2/417/7a-13881.pdf,10MHz SMD Crystal,0.72,,,,
C1,10p,Capacitors_SMD:C_0603_HandSoldering,,DigiKey,490-6112-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM0335C1H100JA01D/490-6112-1-ND/3845312,Murata Electronics North America,GRM0335C1H100JA01D,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf,10pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C4,10p,Capacitors_SMD:C_0603_HandSoldering,,DigiKey,	490-6112-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM0335C1H100JA01D/490-6112-1-ND/3845312,Murata Electronics North America,GRM0335C1H100JA01D,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf,10pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C6,0.1u,Capacitors_SMD:C_0603_HandSoldering,
SW1,RESET,custom_footprints:SW_RACON_8,,Digikey,CKN9363CT-ND,http://www.digikey.com/product-detail/en/c-k-components/1.14100.5030000/CKN9363CT-ND/583462,C&K Components,1.14100.5030000,http://www.ck-components.com/43191/short-travel-racon.pdf/,SWITCH PUSH SPST-NO 0.1A 42V,2.43,,,,
C3,0.1u,Capacitors_SMD:C_0603_HandSoldering,
C5,0.1u,Capacitors_SMD:C_0603_HandSoldering,
R6,1k,Resistors_SMD:R_0603_HandSoldering,
R7,1k,Resistors_SMD:R_0603_HandSoldering,
D1,POWER,LEDs:LED_0603,,,,,,,,0603 LED (BLUE),,,,,
D2,FAULT,LEDs:LED_0603,,,,,,,,0603 LED (RED),,,,,
